2023-05-09 14:20:05,355 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27855.79, 'bs': 0.15336, 'ap': 27863.01, 'as': 0.00105, 't': Timestamp(seconds=1683660005, nanoseconds=386375197)}
2023-05-09 14:20:05,589 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27863.01, 's': 0.00105, 't': Timestamp(seconds=1683660005, nanoseconds=613000000), 'i': 16579675, 'tks': 'B'}
2023-05-09 14:20:05,590 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27855.79, 'bs': 0.15336, 'ap': 27867.0, 'as': 0.28704, 't': Timestamp(seconds=1683660005, nanoseconds=621829176)}
2023-05-09 14:20:06,050 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27855.8, 'bs': 0.0359, 'ap': 27867.0, 'as': 0.28704, 't': Timestamp(seconds=1683660006, nanoseconds=81708988)}
2023-05-09 14:20:06,064 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27855.8, 'bs': 0.11318, 'ap': 27867.0, 'as': 0.28704, 't': Timestamp(seconds=1683660006, nanoseconds=95353009)}
2023-05-09 14:20:07,353 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27855.39, 'bs': 0.05373, 'ap': 27867.0, 'as': 0.28704, 't': Timestamp(seconds=1683660007, nanoseconds=308403204)}
2023-05-09 14:20:07,353 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27855.8, 's': 0.11318, 't': Timestamp(seconds=1683660007, nanoseconds=302000000), 'i': 16579676, 'tks': 'S'}
2023-05-09 14:20:07,353 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27855.79, 's': 0.00533, 't': Timestamp(seconds=1683660007, nanoseconds=302000000), 'i': 16579677, 'tks': 'S'}
2023-05-09 14:20:07,354 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27855.39, 's': 0.08917, 't': Timestamp(seconds=1683660007, nanoseconds=302000000), 'i': 16579678, 'tks': 'S'}
2023-05-09 14:20:07,354 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27854.0, 'bs': 0.12313, 'ap': 27867.0, 'as': 0.28704, 't': Timestamp(seconds=1683660007, nanoseconds=319363015)}
2023-05-09 14:20:07,355 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27854.0, 'bs': 0.12313, 'ap': 27866.99, 'as': 0.07728, 't': Timestamp(seconds=1683660007, nanoseconds=326257033)}
2023-05-09 14:20:07,355 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27854.0, 'bs': 0.31313, 'ap': 27866.99, 'as': 0.07728, 't': Timestamp(seconds=1683660007, nanoseconds=336818622)}
2023-05-09 14:20:07,355 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27854.01, 'bs': 0.0359, 'ap': 27866.99, 'as': 0.07728, 't': Timestamp(seconds=1683660007, nanoseconds=339692322)}
2023-05-09 14:20:07,357 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27854.01, 'bs': 0.0359, 'ap': 27860.79, 'as': 0.00532, 't': Timestamp(seconds=1683660007, nanoseconds=387845504)}
2023-05-09 14:20:07,363 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27854.01, 'bs': 0.0359, 'ap': 27866.99, 'as': 0.07728, 't': Timestamp(seconds=1683660007, nanoseconds=394271813)}
2023-05-09 14:20:07,363 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27860.79, 's': 0.00532, 't': Timestamp(seconds=1683660007, nanoseconds=387000000), 'i': 16579679, 'tks': 'B'}
2023-05-09 14:20:07,431 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27866.99, 'as': 0.07728, 't': Timestamp(seconds=1683660007, nanoseconds=462978485)}
2023-05-09 14:20:07,510 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.62, 'bs': 0.03554, 'ap': 27866.99, 'as': 0.07728, 't': Timestamp(seconds=1683660007, nanoseconds=537349515)}
2023-05-09 14:20:09,094 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.62, 'bs': 0.1978, 'ap': 27866.99, 'as': 0.07728, 't': Timestamp(seconds=1683660009, nanoseconds=92840888)}
2023-05-09 14:20:11,858 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.62, 'bs': 0.03554, 'ap': 27866.99, 'as': 0.07728, 't': Timestamp(seconds=1683660011, nanoseconds=878915028)}
2023-05-09 14:20:12,213 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27866.99, 'as': 0.07728, 't': Timestamp(seconds=1683660012, nanoseconds=244653301)}
2023-05-09 14:20:12,732 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27866.99, 'as': 0.07675, 't': Timestamp(seconds=1683660012, nanoseconds=763650182)}
2023-05-09 14:20:12,735 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27866.99, 's': 0.00053, 't': Timestamp(seconds=1683660012, nanoseconds=756000000), 'i': 16579680, 'tks': 'B'}
2023-05-09 14:20:14,163 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27866.39, 'as': 0.18841, 't': Timestamp(seconds=1683660014, nanoseconds=194845591)}
2023-05-09 14:20:15,549 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.14357, 'ap': 27866.39, 'as': 0.18841, 't': Timestamp(seconds=1683660015, nanoseconds=579524781)}
2023-05-09 14:20:16,262 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.14357, 'ap': 27866.39, 'as': 0.26568, 't': Timestamp(seconds=1683660016, nanoseconds=259163612)}
2023-05-09 14:20:16,263 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.14357, 'ap': 27866.39, 'as': 0.18841, 't': Timestamp(seconds=1683660016, nanoseconds=265462032)}
2023-05-09 14:20:16,263 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.14357, 'ap': 27866.38, 'as': 0.07727, 't': Timestamp(seconds=1683660016, nanoseconds=265525979)}
2023-05-09 14:20:16,478 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27866.38, 'as': 0.07727, 't': Timestamp(seconds=1683660016, nanoseconds=507998130)}
2023-05-09 14:20:17,982 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27866.38, 'as': 0.26727, 't': Timestamp(seconds=1683660018, nanoseconds=12647121)}
2023-05-09 14:20:17,987 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27866.37, 'as': 0.07727, 't': Timestamp(seconds=1683660018, nanoseconds=18714365)}
2023-05-09 14:20:20,166 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.18942, 'ap': 27866.37, 'as': 0.07727, 't': Timestamp(seconds=1683660020, nanoseconds=196828746)}
2023-05-09 14:20:21,127 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27866.37, 'as': 0.07727, 't': Timestamp(seconds=1683660021, nanoseconds=127209510)}
2023-05-09 14:20:22,100 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.18119, 'ap': 27866.37, 'as': 0.07727, 't': Timestamp(seconds=1683660022, nanoseconds=54039333)}
2023-05-09 14:20:23,021 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27866.37, 'as': 0.07727, 't': Timestamp(seconds=1683660022, nanoseconds=974299484)}
2023-05-09 14:20:23,022 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27870.0, 'as': 0.30144, 't': Timestamp(seconds=1683660023, nanoseconds=8999276)}
2023-05-09 14:20:23,022 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27866.37, 's': 0.07727, 't': Timestamp(seconds=1683660023, nanoseconds=1000000), 'i': 16579681, 'tks': 'B'}
2023-05-09 14:20:23,022 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27866.38, 's': 0.00195, 't': Timestamp(seconds=1683660023, nanoseconds=1000000), 'i': 16579682, 'tks': 'B'}
2023-05-09 14:20:23,023 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27866.39, 's': 0.18841, 't': Timestamp(seconds=1683660023, nanoseconds=1000000), 'i': 16579683, 'tks': 'B'}
2023-05-09 14:20:23,023 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27867.0, 's': 0.28704, 't': Timestamp(seconds=1683660023, nanoseconds=1000000), 'i': 16579684, 'tks': 'B'}
2023-05-09 14:20:23,023 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27868.67, 's': 0.01304, 't': Timestamp(seconds=1683660023, nanoseconds=1000000), 'i': 16579685, 'tks': 'B'}
2023-05-09 14:20:23,024 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27868.87, 's': 0.15, 't': Timestamp(seconds=1683660023, nanoseconds=1000000), 'i': 16579686, 'tks': 'B'}
2023-05-09 14:20:23,024 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27869.08, 's': 0.00532, 't': Timestamp(seconds=1683660023, nanoseconds=1000000), 'i': 16579687, 'tks': 'B'}
2023-05-09 14:20:23,024 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27869.17, 's': 0.19, 't': Timestamp(seconds=1683660023, nanoseconds=1000000), 'i': 16579688, 'tks': 'B'}
2023-05-09 14:20:23,025 - INFO - trade {'T': 't', 'S': 'BTC/USD', 'p': 27870.0, 's': 0.19856, 't': Timestamp(seconds=1683660023, nanoseconds=1000000), 'i': 16579689, 'tks': 'B'}
2023-05-09 14:20:23,025 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.19532, 'ap': 27870.0, 'as': 0.30144, 't': Timestamp(seconds=1683660023, nanoseconds=15443389)}
2023-05-09 14:20:23,025 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.62, 'bs': 0.07727, 'ap': 27870.0, 'as': 0.30144, 't': Timestamp(seconds=1683660023, nanoseconds=23018636)}
2023-05-09 14:20:23,026 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27870.0, 'as': 0.30144, 't': Timestamp(seconds=1683660023, nanoseconds=47023659)}
2023-05-09 14:20:23,026 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27869.79, 'as': 0.19, 't': Timestamp(seconds=1683660023, nanoseconds=47063679)}
2023-05-09 14:20:23,027 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27870.0, 'as': 0.30144, 't': Timestamp(seconds=1683660023, nanoseconds=52385132)}
2023-05-09 14:20:23,027 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27869.18, 'as': 0.19, 't': Timestamp(seconds=1683660023, nanoseconds=56097094)}
2023-05-09 14:20:23,048 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27870.0, 'as': 0.30144, 't': Timestamp(seconds=1683660023, nanoseconds=57351350)}
2023-05-09 14:20:23,048 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27856.61, 'bs': 0.00532, 'ap': 27869.33, 'as': 0.19, 't': Timestamp(seconds=1683660023, nanoseconds=66339475)}
2023-05-09 14:20:23,051 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00532, 'ap': 27869.33, 'as': 0.19, 't': Timestamp(seconds=1683660023, nanoseconds=82500633)}
2023-05-09 14:20:23,057 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00532, 'ap': 27870.0, 'as': 0.30144, 't': Timestamp(seconds=1683660023, nanoseconds=88200189)}
2023-05-09 14:20:23,066 - INFO - quote {'T': 'q', 'S': 'BTC/USD', 'bp': 27860.79, 'bs': 0.00532, 'ap': 27869.72, 'as': 0.19, 't': Timestamp(seconds=1683660023, nanoseconds=97458801)}
