2023-05-09 14:59:17,556 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1864.17, 'bs': 3.5005, 'ap': 1864.65, 'as': 0.0107, 't': Timestamp(seconds=1683662357, nanoseconds=523812045)}
2023-05-09 14:59:19,093 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1864.17, 'bs': 1.6505, 'ap': 1864.65, 'as': 0.0107, 't': Timestamp(seconds=1683662359, nanoseconds=54164322)}
2023-05-09 14:59:19,400 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1864.17, 'bs': 3.5005, 'ap': 1864.65, 'as': 0.0107, 't': Timestamp(seconds=1683662359, nanoseconds=310298499)}
2023-05-09 14:59:19,401 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1864.17, 'bs': 1.6505, 'ap': 1864.65, 'as': 0.0107, 't': Timestamp(seconds=1683662359, nanoseconds=369409806)}
2023-05-09 14:59:19,707 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1864.17, 'bs': 3.5005, 'ap': 1864.65, 'as': 0.0107, 't': Timestamp(seconds=1683662359, nanoseconds=642838399)}
2023-05-09 14:59:20,030 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1864.17, 'bs': 1.6505, 'ap': 1864.65, 'as': 0.0107, 't': Timestamp(seconds=1683662360, nanoseconds=18552050)}
2023-05-09 14:59:20,535 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1864.15, 'bs': 13.9332, 'ap': 1864.65, 'as': 0.0107, 't': Timestamp(seconds=1683662360, nanoseconds=537064675)}
2023-05-09 14:59:20,542 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1864.15, 'bs': 13.9332, 'ap': 1864.65, 'as': 1.8607, 't': Timestamp(seconds=1683662360, nanoseconds=544693707)}
2023-05-09 14:59:20,548 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1864.15, 'bs': 13.9332, 'ap': 1864.62, 'as': 1.85, 't': Timestamp(seconds=1683662360, nanoseconds=550533737)}
2023-05-09 14:59:20,732 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1864.15, 'bs': 13.9332, 'ap': 1864.52, 'as': 0.0107, 't': Timestamp(seconds=1683662360, nanoseconds=707341570)}
2023-05-09 14:59:21,755 - INFO - quote {'T': 'q', 'S': 'ETH/USD', 'bp': 1864.15, 'bs': 13.9332, 'ap': 1864.46, 'as': 1.85, 't': Timestamp(seconds=1683662361, nanoseconds=696727431)}
